,store_number,city,country,latitude,longitude,ownership_type,opening_time
88,57765-291886,Jakarta,ID,-6.23013,106.823883,LS,"('23', '23', 'AM')"
89,60480-294760,Jakarta,ID,-6.213639,106.813633,LS,"('23', '23', 'AM')"
90,15637-136385,Jakarta,ID,-6.23821,106.826187,LS,"('23', '23', 'AM')"
91,27657-248314,Jakarta,ID,-6.200466,106.786461,LS,"('23', '23', 'AM')"
92,16263-159203,Jakarta,ID,-6.221094,106.82045,LS,"('7', '00', 'AM')"
93,24073-223865,Jakarta,ID,-6.215805,106.816689,LS,"('23', '23', 'AM')"
94,27360-247351,Jakarta,ID,-6.23781,106.827057,LS,"('23', '23', 'AM')"
95,57047-291070,Tangerang,ID,-6.317083,106.767994,LS,"('23', '23', 'AM')"
96,24667-233049,Jakarta,ID,-6.23794,106.827377,LS,"('23', '23', 'AM')"
97,31801-111324,Jakarta,ID,-6.23148,106.828476,LS,"('6', '30', 'AM')"
98,7133-148805,Bali,ID,-8.506281,115.261454,LS,"('9', '00', 'AM')"
99,57533-291663,Gianyar,ID,-8.513119,115.260741,LS,"('23', '23', 'AM')"
100,61978-296481,Tabanan,ID,-8.551605,115.129412,LS,"('23', '23', 'AM')"
101,56354-290237,Denpasar,ID,-8.636686,115.214812,LS,"('23', '23', 'AM')"
102,29070-252346,Badung,ID,-8.483762,115.10032,LS,"('23', '23', 'AM')"
103,47657-259167,Denpasar,ID,-8.66675,115.22287,LS,"('23', '23', 'AM')"
104,49759-271107,Denpasar,ID,-8.435177,115.10425,LS,"('23', '23', 'AM')"
105,27340-247350,Denpasar,ID,-8.40114,115.12497,LS,"('23', '23', 'AM')"
106,58777-293052,Denpasar,ID,-8.672271,115.217882,LS,"('23', '23', 'AM')"
107,25562-241564,Bali,ID,-8.606236,115.107687,LS,"('23', '23', 'AM')"
108,18640-193885,Denpasar,ID,-8.690285,115.263914,LS,"('9', '00', 'AM')"
109,59106-293281,Denpasar,ID,-8.681012,115.1892,LS,"('23', '23', 'AM')"
110,60876-295323,Badung,ID,-8.672999,115.164953,LS,"('23', '23', 'AM')"
111,29977-256270,Badung,ID,-8.664168,115.146537,LS,"('23', '23', 'AM')"
112,51256-277764,Badung,ID,-8.691353,115.17328,LS,"('23', '23', 'AM')"
113,20841-199105,Seminyak,ID,-8.68411,115.157236,LS,"('23', '23', 'AM')"
114,57060-291064,Denpasar,ID,-8.702263,115.184757,LS,"('23', '23', 'AM')"
115,15659-163865,Kuta,ID,-8.70017,115.177874,LS,"('9', '00', 'AM')"
116,15943-166965,Denpasar,ID,-8.714465,115.174103,LS,"('8', '00', 'AM')"
117,17160-177137,Bali,ID,-8.716551,115.169629,LS,"('10', '00', 'AM')"
118,15327-159185,Bali,ID,-8.717312,115.168966,LS,"('10', '00', 'AM')"
119,2110-154208,Bali,ID,-8.723725,115.184077,LS,"('10', '00', 'AM')"
120,21166-209924,Denpasar,ID,-8.720738,115.169903,LS,"('23', '23', 'AM')"
121,35627-96421,Bali,ID,-8.728416,115.16866,LS,"('9', '00', 'AM')"
122,25380-240833,Badung,ID,-8.737003,115.175768,LS,"('23', '23', 'AM')"
123,19721-199154,Denpasar,ID,-8.735439,115.167081,LS,"('23', '23', 'AM')"
124,31887-178624,Denpasar,ID,-8.744458,115.166507,LS,"('8', '00', 'AM')"
125,52177-281047,Kuta,ID,-8.744657,115.162306,LS,"('23', '23', 'AM')"
126,28100-249937,Nusa Dua,ID,-8.76925,115.222098,LS,"('23', '23', 'AM')"
