,country,pop_2021,area,pop_density,number_starbucks,sb_per_capita
73,Cambodia,16589023,181035,93,0,0.0
74,Zimbabwe,15993524,390757,42,0,0.0
75,Guinea,13531906,245857,56,0,0.0
76,Rwanda,13461888,26338,523,0,0.0
77,Benin,12996895,112622,119,0,0.0
78,Burundi,12551213,27834,463,0,0.0
79,Tunisia,12262946,163610,76,0,0.0
80,Bolivia,12079472,1098581,11,0,0.0
82,Haiti,11447569,27750,417,0,0.0
84,Dominican Republic,11117873,48671,231,0,0.0
85,Cuba,11256372,109884,102,0,0.0
86,South Sudan,10748272,619745,18,0,0.0
87,Sweden,10467097,450295,23,0,0.0
208,Vatican City,511,1,510,0,0.0
